0	50
1	125
2	200
3	300
4	500
5	750
6	1000
7	1500
8	2000
9	3500
10	5000
11	7500
12	10000
13	15000
14	20000
15	30000
16	50000
17	75000
18	100000
19	200000
20	300000
21	400000
22	500000
23	600000
24	700000
25	800000
26	900000
27	1000000
28	1100000
29	1200000
30	1300000
31	1400000
32	1500000
33	1600000
34	1700000
35	1800000
36	1900000
37	2000000
38	2100000
39	2200000
40	2300000
41	2400000
42	2500000
43	2600000
44	2750000
45	2900000
46	3100000
47	3400000
48	3700000
49	4000000
50	4400000
51	4800000
52	5200000
53	5600000
54	6000000
55	6500000
56	7000000
57	7500000
58	8100000
59	8750000
60	9450000
61	10200000
62	11000000
63	11850000
64	12700000
65	13550000
66	14400000
67	15250000
68	16100000
69	17000000
70	17950000
71	18950000
72	20000000
73	21050000
74	22150000
75	23500000
76	25000000
77	26500000
78	28000000
79	29500000
80	31000000
81	32500000
82	34000000
83	35750000
84	37500000
85	39500000
86	41500000
87	44000000
88	47000000
89	50000000
90	53500000
91	57500000
92	62000000
93	67000000
94	72500000
95	78500000
96	85000000
97	92000000
98	99500000
99	107500000
